#PRODUCTID;SKU;TITLE;QUANTITY;PURCHASE_PRICE;VENDOR;SERIAL;PURCHASE_DATE;MERCI_STATUS
243;"BAA610G08";"Balance, 610g, 0.01g Step, Sartorius Ay612" size;"1";"0.00";"";"";"";"available" 
244;"BAA610G09";"Balance, 610g, 0.01g Step, Sartorius Ay612" size;"1";"0.00";"";"";"";"available" 
245;"BAA610G10";"Balance, 610g, 0.01g Step, Sartorius Ay612" size;"1";"0.00";"";"";"";"available" 
246;"BAA610G11";"Balance, 610g, 0.01g Step, Sartorius Ay612" size;"1";"0.00";"";"";"";"available" 
247;"BAA610G12";"Balance, 610g, 0.01g Step, Sartorius Ay612" size;"1";"0.00";"";"";"";"available" 
248;"BAAL00001";"Balance, Tl, Acculab" size;"1";"0.00";"";"";"";"surplus" 
249;"BAAL00011";"Balance, Tl, Acculab" size;"1";"0.00";"";"";"";"lost" 
250;"BAAL00012";"Balance, Tl, Acculab" size;"1";"0.00";"";"";"";"lost" 
251;"BAAL00013";"Balance, Tl, Acculab" size;"1";"0.00";"";"";"";"available" 
252;"BAAL00014";"Balance, Tl, Acculab" size;"1";"0.00";"";"";"";"surplus" 
254;"BAAL00016";"Balance, 4800g, 0.1g Step, Acculab" size;"1";"0.00";"";"";"";"available" 
255;"BAAL00017";"Balance, Tl, Acculab" size;"1";"0.00";"";"";"";"lost" 
256;"BAC001264";"Balance, Cahn" size;"1";"0.00";"";"";"";"lost" 
257;"BAC201001";"4000g X 1g" size;"1";"0.00";"";"";"";"none" 
258;"BACKPACK0";"Backpack" size;"1003";"0.00";"";"";"";"none" 
259;"BACKPACK1";"Backpack" size;"1000";"0.00";"";"";"";"lost" 
260;"BACKPACKS";"Backpack" size;"1001";"0.00";"";"";"";"none" 
261;"BADI00001";"Balance, Denver Inst." size;"1";"0.00";"";"";"";"lost" 
262;"BAF025001";"Balance, Fisher" size;"1";"0.00";"";"";"";"lost" 
263;"BAH007883";"Balance" size;"1";"0.00";"";"";"";"lost" 
264;"BAH007884";"Balance" size;"1";"0.00";"";"";"";"lost" 
